image_link,group_id,entity_name,entity_value,units,text_output
https://m.media-amazon.com/images/I/6164esKEJ8L.jpg,881883,depth,29.0 inch,inch,"MEASURE [TJ wioowwitH You wILt NEED
EXPERT TIPS TO HAVE Up to 29""Wide 1 Panel
YOU ON YOUR WAY TO 30"" to 39"" 1 or 2 Panels
"" "" 2 P |
BEAUTIFUL WINDOWS 40 to 48 anels
—_ 49"" to 72"" 3 Panels
—Poes0809) A jOOCad —= 73"" to 96"" 4 Panels
97"" to 120"" 5 Panels
cas 121"" to 144"" 6 Panels
: ue WINDOW WIDTH
B | WINDOW SILL LENGTH
APRON LENGTH
ee || TOORLENSTH
Pron ee
"
https://m.media-amazon.com/images/I/51koXJPZvPL.jpg,221399,maximum_weight_recommendation,2 person,person,"=
Suitable for
= e
v 2 Persons
4 |
SY Handcrafted
Swing Chair
4«
.& Suitable for
ve Kids and Adult
Spacious and
Va Comfortable
"
https://m.media-amazon.com/images/I/61GWix0PPHL.jpg,847223,item_weight,"[6.6, 19.8] pound",6,"Size Height Width Diameter
M Ain(iocm) 7 inch(18 centimetre) 54/siN (14 centimetre)
Weight between 6.6-19.8lbs
Hold up 1 Cup
Food as the Image Shows
! Diameter
Height 54/ain
Ain DP
/
os =
Width
7 inch
"
https://m.media-amazon.com/images/I/71ZkL7BBuTL.jpg,866516,item_weight,"[45.1, 48.0] gram",1,"Amethyst
a iy we +
. 7
/ ; Pm NA
, f)
"
https://m.media-amazon.com/images/I/81y3F0mzpTL.jpg,866516,item_weight,"[34.8, 38.0] gram",8,"‘ae
"
https://m.media-amazon.com/images/I/51L9WyyudUL.jpg,679049,height,2.7 metre,metre,"1.5 metre
y \
"
https://m.media-amazon.com/images/I/61VV3bO9fkL.jpg,983323,wattage,"[1.29, 2.39] watt",9,"—_2amm
—
ey
S\
»
»

FAN Speed 800-1700RPM FAN Noise Level 32dBA

FAN Air Flow 19.2-54.92CFM Rated Current 0.34-0.355A

Rated Voltage Rated Power 1.29-2.39 watt

Air Pressure 0.33-1.5 millimetre-H20
"
https://m.media-amazon.com/images/I/71aewCN431L.jpg,983323,wattage,"[1.3, 2.7] watt",3,"360 millimetre
~ ) SPESCIFICATION
So:
y uA e Size 360""120*25 millimetre
a e FanSpeed 640-1800+10%RPM
e Noise Level 15.4-20.5dcB.A
w S$ 4 e Bearing Hydraulic bearing
is) 1.
3 : e Rated Voltage DC12 volt
A e Rated Power 1.3-2.1 watt
° ; e InterFace 4PIN
j ~
124 millimetre A
"
https://m.media-amazon.com/images/I/71-avN+e9eL.jpg,801829,maximum_weight_recommendation,18.9 foot,foot,"32.3”
7 me 104-
Beet Nie 2000
% . o> @,,
% 4
| © q @:
cy
97,95"" +
"
https://m.media-amazon.com/images/I/810JnkrxfES.jpg,299791,item_weight,11.15 carat,carat,"vey Naman Gem Testing Lab® |) ipa ee ,
A SF 1187-F6 Gems House, Mahadev Johari ki Gali,Johari | \ i
Reet Bazar,JAIPUR , Ph.:0141 - 4029588 4, ee ; a
Web. : www.namangtl.com __ . islet) of ————.
GEMSTONE IDENTIFICATION JR ages | ( oe
= SO Heeay, | A]
wise Bi SES
NATURAL MACHH MANI = ne i Stan
Cert. No. :-NGTL2/21/105946 — |=
. ‘ o-. : y
Weight :- 11.15 ct o | | .
Colour :- Golden Brown | ]
Shape :- Uneven/ Cabociion ; —
Dimensions :- N.A SO
Aq AS Alor Naman Jain, | |
Gemologist(lIG)) |
"
https://m.media-amazon.com/images/I/71CwV-Hv5qL.jpg,525429,wattage,0.0 milliampere hour,milliampere,"LCD Digital Panel
Ice-making status Self-cleaning mode Error Code
Ice-making countdown Add water reminder
|
| Fa - a
ia Tn ¢ 7
, u ihe ma ky ©) !
iHold5s_CLEAN 1 :
— n n M Ca , Cc { | 4
1 1
1 ———€ 9 ii iS Ol
—
4 RZ Kh
e
\_ = ESE
"
https://m.media-amazon.com/images/I/51GXg8VyrPL.jpg,993359,item_weight,10 nits,nits,"SSR CHILL aia |
s OREGANO EES - Organ: | fs ~ Ogenio ii HERBS |
SUNESTE os WE oo HE"" |
coe Gee oy 5 eee
"
https://m.media-amazon.com/images/I/71afMJS8zwL.jpg,648011,wattage,3.8 watt,watt,"| a
o
N x
.
,""
"
https://m.media-amazon.com/images/I/61YOFzszc5L.jpg,601746,item_weight,20.5 pound,pound,"| 23.6 inch Z
| ul
#
5
SS
5 foot |
| 20.5Ibs |
"
https://m.media-amazon.com/images/I/51tNGKSlCkL.jpg,231838,height,19.0 centimetre,centimetre,"7 centimetre 12.2 centimetre
[+ {>
J |
0 19 centimetre I
"
https://m.media-amazon.com/images/I/81nI6G1D8uL.jpg,365637,item_weight,100.0 gram,gram,"4 ail , L. ®
\ ry e \
S :
¥ y * = . . a
. | TESCO
. | j j DP a a ae
* * 2s » » @ BOURBON
POTIP 2O\is a CREAMS |
2 sa yp Wer ws es. a | Carefully baked to a classic recipe .
i. Darna. saded) ts on a sa odeaaaye Mg a° 499090000 20s ccc cecccscevcencscece hen,
j with a smooth chocolatey filling
> oe st (One biscuit} BEST BEFORE
ff ee 3206 6 07:38
Ps ip, J: Typical values per; 100 gram: Energy 2041kJ / 487Kcal
"
https://m.media-amazon.com/images/I/616yHs4EA6L.jpg,235693,depth,98.0 millimetre,millimetre,"Pot
oo Z
~ >,
4 -_
1 4 Filan a
LX ®
| a "" oe
oO
foe) (a ~ j
; \ “4 { 12% >
32 millimetre
"
https://m.media-amazon.com/images/I/61+Hi0whMzL.jpg,428871,item_weight,70.0 pound,pound,"tone
a}
12 volt LED Bluetooth 4
Battery Headlights &USB Music Suspension
y
/ »
>)
( |
|
® /
-( J cy
\ PN
~ \
iu Ce
C
M'5e¢ F ¥
! | : a tay yy r™ X
[ — q | 7.“ "" y | |
eed a, 1) | Cieaeee |
2 volt 4.5AH 3-8 Years 70LBS
"
https://m.media-amazon.com/images/I/716+chm1LDL.jpg,275506,item_weight,3.0 gram,gram,"ERGONOMISCHES DESIGN
LIGHTWEIGHT &COMFORTABLE
Only 3 gram earbuds
wearing without feeling
Comfortable fit
ENG ONONNC GESIgh, Con fo ing
"
https://m.media-amazon.com/images/I/619yViKqfgL.jpg,276611,height,11.8 inch,inch,"© 20 cubes
11.8"" 11.8""
T 71 ton 71
Ny | |
60rcs 2Opcs 69 cs
ry e@- @
Assembly
instructions
i @
| ._
"
https://m.media-amazon.com/images/I/61EHd0J1skL.jpg,478357,height,60.0 centimetre,centimetre,"|size: 40x35x60 centimetre
| 60 centimetre
cm
"
https://m.media-amazon.com/images/I/41o1TdLnvBL.jpg,254449,item_volume,500.0 millilitre,millilitre,"Pestalozzi Apotheke
Kolloidales Silber
peer
poohetenestlung

‘500 millilitre
"
https://m.media-amazon.com/images/I/71KVsQTsSrS.jpg,271537,voltage,24.0 volt,volt,"|
ee ®
briided Mae”
We
asazT77vAc — 1HP 120VAC
2HP 240VAC Tv-101 20VAC
INPUT CONTROL SIGNAL AC 24 volt
sw sw2
B55 Bh
= el 4
|
| POWER IN POWER OUT
| HIGH VOLTAGE!
DISCONNECT POWER SUPPLY
. BEFORE INSTALLING
"
https://m.media-amazon.com/images/I/51S84w4j7DL.jpg,966823,depth,17.0 inch,inch,"BSL Ss ™
Gill
6"" Glacép,
pat
17""
"
https://m.media-amazon.com/images/I/6144ki3rJjL.jpg,416664,height,26.5 centimetre,centimetre,"(o)
LO
co
N
14.5 centimetre
"
https://m.media-amazon.com/images/I/6114qVAzo-L.jpg,801829,height,77.9 centimetre,centimetre,"~ - PRODUCT
—7
/ | |
velar
"
https://m.media-amazon.com/images/I/6179Nov9m+L.jpg,866516,height,12.0 inch,inch,"ae
i an
"
https://m.media-amazon.com/images/I/41G4hJOUzoL.jpg,916768,width,7.0 centimetre,centimetre,
https://m.media-amazon.com/images/I/616JRN9qJ0L.jpg,784538,depth,150.0 centimetre,centimetre,"> SPECIFICATION -
ad
150 centimetre/59""
"
https://m.media-amazon.com/images/I/716ESqCB+tL.jpg,523149,item_weight,1.18 gram,gram,"Products Information
Materials : 925 Sterling Silver
Gem Type : Sythetic Cubic Zircon oie
Inner diameter size:6/7/8 millimetre ar; > ta.
Model Weight :1.18¢ a
Color : Platinum / 18k Gold Plated
Origin : Factory Direct,China
"
https://m.media-amazon.com/images/I/619s3-u44RL.jpg,944592,width,9.5 centimetre,centimetre,"24PCS
4 centimetre
3 centimetre
a 2 centimetre
——_—> 1.5 centimetre
_——_
915 centimetre 9.2 centimetre !

1.3 centimetre 1.1 centimetre 0.8 centimetre 0.5 centimetre
"
https://m.media-amazon.com/images/I/51w2TIp1raS.jpg,695925,depth,12.0 inch,inch,"4 inch
6 inch
@ 8inch
@ 10inch
@ 12inch
<— ~ USS mm on ~~
— a —— = os
\ — ee” ae \ ei, ~~ x
— ye. yo™X ~ J
"
https://m.media-amazon.com/images/I/51XelCTOD5L.jpg,589105,depth,64.0 centimetre,centimetre,"; LJ
—
Fons 60 centimetre
"
https://m.media-amazon.com/images/I/618ifj56V2L.jpg,745488,depth,8.0 centimetre,centimetre,"Lunghezza totale di 3.2 metre
NT a
e
©
——
oa
40 ——— -
CM / 15,7"" |
"
https://m.media-amazon.com/images/I/51VzqEjE4FL.jpg,220662,width,6.0 centimetre,centimetre,"6-8 centimetre
|———_|
i
a
5 centimetre | =
"
https://m.media-amazon.com/images/I/91cfbGMgQLL.jpg,281678,item_weight,4.4 ounce,ounce,"|
ahs |

ye

foe AG <

|
. Whittard |
ve CHELSEA 1886 |
(ae Sox | (s es
"
https://m.media-amazon.com/images/I/61LW3qkJZWL.jpg,731432,item_weight,60.0 gram,gram,"4
om
COENZYME Q10 é un integratore alimentare a INTEGRAT, LIMENTARE
base di Coenzima Q10. = t Dor ray
INGREDIENT: coenzima Q10 (ubiquinone), BANDI NI Capsule = 0 netto 60 gram
adldensante: cellulosa microctstalina; capsula cf; — gegen
(gelatina); agenti antiagglomeranti: sali di Tenor |consigtata copa)
magnesio degli acidi grassi, biossido di silicio. Vv’
Puresttnen tatiae Sala. co ENZY >) CoenzimaQio |200 milligram 4
AWERTENZE: non superare la dose giornaliera Q. oO (® ) fede
consigliata. Tenere fuori dalla portata dei ® @ Co) 4 fe
bambini al di sotto dei tre anni. FE!
= tl
INTEGRATORE ALIMENTARE ==.&
— se
es —E ce E
120 @ ra
=F
= == =,
—aa
es
"
https://m.media-amazon.com/images/I/616DkfhJCnL.jpg,731432,item_weight,7000.0 milligram,milligram,"ibly
i §
it
i EXTRA STRENGTH LJ f
 SHILAJIT
i 20:1 EXTRACT
.
EF Supports Increased Ot
Energy and Vitality .
j @ Standardized to Al
50% Fulvic Acid 4
4 > g Supports Memory Mi
=e and Brain Function 4
7000 milligram
Strength DIETARY SUPP
120 veccie caps
"
https://m.media-amazon.com/images/I/61sXBQwQvjL.jpg,648011,item_weight,2.52 ounce,ounce,"o 64 millimetre
2.52pouce
Couvercle en verre transparent
Eclairez votre maison avec un éclairage clair
LED a filament de haute qualité
a Bonne transmission et faible chaleur
Es
Eo
oa
TSE
fe)
| Culot E27 Ti
"
https://m.media-amazon.com/images/I/81xV1q0blfL.jpg,397856,item_weight,4.5 milligram,milligram,"——
Each tablet contains: Chaque comprimé contient :
Vitamin A Vitamine A
a (palmitate)................ 5000 IU (1510 microgram RAE) —(palmitate)...............5000 Ul (1510 microgram EAR)
Vitamin D3 (cholecalciferol).....400 IU (10 microgram) —Vitamine D3 (cholécalciférol)..... 400 UI (10 microgram)
Vitamin E (d-alpha tocopheryl Vitamine E (acétate de
ACETATE) .......eessseeseseesesesseeeee 10 IU (4.5 milligram AT) — déalpha-tocophéryle)............10 Ul (4,5 milligram AT)
Vitamin C (ascorbic acid) .....................60 milligram Vitamine C (acide ascorbique)...............60 milligram
» Vitamin B1 (thiamine hydrochloride) ..... 1.5 milligram — Vitamine B1
Vitamin B2 (riboflavin)..................01/ Mg (chlorhydrate de thiamine) ....................1,5 milligram
NiaCiNAMId .........ceeeeeeeeeeeeeeees 20 MQ Vitamine B2 (riboflavine) .....................1,7 milligram
Vitamin B6 (pyridoxine hydrochloride)......2 MQ  NiaCinaMide ............cseseeeseseeeeeeeeeee 20 MQ
7 Vitamin B12 (cyanocobalamin)...............6 microgram  Vitamine B6
a Folate (folic acid) .............cceeeee 100 microgram — (chlorhydrate de pyridoxine)....................2 milligram
Non-medicinal ingredients: Microcrystalline Vitamine B12 (cyanocobalamine)...........6 microgram
cellulose, coating (carbohydrate gum, Folate (acide folique)...........sss 100 meg
p riboflavin, polyethylene glycol, titanium dioxide,  Ingrédients non médicinaux : cellulose
polysorbate 80, carmine, glycerin), vegetable microcristalline, enrobage (gomme de glucides,
grade magnesium stearate (lubricant). riboflavine, polyéthyléne glycol, dioxyde de
Recommended dosage (adults): 1 tablet titane, polysorbate 80, carmin, glycérine),
daily, preferably with a meal, or as directed by — stéarate de magnésium d'origine végétale
a physician. Keep out of reach of children. (lubrifiant).
See peel back for cautions and more Dose recommandée (adultes) : 1 comprimé
information. par jour, de préférence avec un repas, ou
suivre les recommandations d’un médecin.
Conserver hors de la portée des enfants.
Soulevez l’étiquette pour plus
d’informations et les risques.
"
https://m.media-amazon.com/images/I/617MbxOy+NL.jpg,478357,width,91.0 centimetre,centimetre,"acm /
ap inn? S80
_wWS
SS eS
aD I a =
2 a Io F
Da
15,7 inch
40 centimetre
"
https://m.media-amazon.com/images/I/611p9GjVGBL.jpg,693845,depth,55.0 centimetre,centimetre,"S =
S\ARS) | dees i) (2288
. 1 aw
70 centimetre
SEs”
5Bem
"
https://m.media-amazon.com/images/I/6166y+XHL3L.jpg,416664,height,15.2 centimetre,centimetre,"a
z fa)
—
st ~ . wie on
er ; a wy
Ay y < f ™
' Lew ~~
— |
Sensing area off/on charging interface Bottom
"
https://m.media-amazon.com/images/I/71eRnxguowL.jpg,375816,item_weight,30 gram,gram,"™
r -
x= —— ay
aoe obNwamy «| ONS goat ESR
° WW, }
x , — iniste ) CARAMEL Spout s mcr?
Ps — Se WWHIRLS”
\e <A) ,
%, 7 1S% RIS; .
d wh ‘ ORIGINAL 5 ' 7 . =
RDe ¥ s eat ” RD
4 . } [e)
3 Se EB . } OSS 2 rf
oy ts i 7 ARIS) ARISZ PM ecrarc)
SINGER \) 0 im — a 3
Roe: \ y rj - 6 azo”
_ =~ VV
; » XN
ss i » = Ne
30 < — h
- _} - ~ —— —— ees
"
https://m.media-amazon.com/images/I/611ivVuRJJL.jpg,751532,depth,79.2 inch,inch,"TWIN
-)
Capacity Adjustable Headboard
LBS
I
f= ) : t
. J— 30 Mins =
(3 = Assemble -
SS j
12.5"" |
= 79.2""
40.2"" a
"
https://m.media-amazon.com/images/I/61n3XTi0EsL.jpg,369753,item_volume,4.23 ounce,ounce,"Perfekt fur die Gesichtspflege, porentiefe
Reinigung, reduziert Akneflecken, lindert
Entzundungen.
y
INGREDIENTS: AQUA, Wi?
nai | DEAD SEA co
Att'| TEA TREE ake
Net We. 4.23 02 / 120 gram cone Suse on
"
https://m.media-amazon.com/images/I/81UY++doksL.jpg,296366,item_weight,94.0 gram,gram,"nti
; <a = with charger
fi
5.02inch/12.75em 7
==
~ Ne s a
9 7 & 94 gram ie
Durability Light Portable s |
in use weight — tocarry SUP
0.89inch/2.25 centimetre
5A
gaz a)
, » P a Pup dhe is
Remote control toy car Remote control toy car
"
